1402274452990201856,RT @thicico: É chover no molhado o que vou dizer mas é tanta minha indignação que não me importo em ser lugar comum: ainda me dói e surpree…,Tue Jun 08 14:40:57 +0000 2021,16;;
1402274451694235658,RT @BlogdoNoblat: Polícia Federal liga Michelle Bolsonaro e 'gabinete do ódio' a contas falsas do Facebook (uol),Tue Jun 08 14:40:56 +0000 2021,178;;
"1402274451052445697,""RT @Rconstantino: Não adianta: a oposição não quer aceitar que o presidente é o chefe do ministro, e não o contrário. É que o presidente é…"",Tue Jun 08 14:40:56 +0000 2021,244";;
"1402274450683400198,""RT @rodcebrian: Nunca desejei tanto uma adoção alheia. Vai lá Suzane Bolsonaro, faz seu nome. https://t.co/zI4rxmoRvj"",Tue Jun 08 14:40:56 +0000 2021,8";;
"1402274450008121346,""RT @MiriamTaokei100: Bolsonaro 2022? #VaiSerNoPrimeiroTurno ";;
"E eu tenho razão! 👍"",Tue Jun 08 14:40:56 +0000 2021,24";;
1402274449278345222,@icarolinecampos Bolsonaro tá deixando fácil demais,Tue Jun 08 14:40:56 +0000 2021,0;;
"1402274449047572500,""RT @renatobarrosbr: Mácron Falou, se Bolsonaro pode eu também posso! ";;
Acho q não! 😂😂😂 ;;
"Agora, convenhamos né. O rapazola que deu o tapa, se…"",Tue Jun 08 14:40:56 +0000 2021,32";;
"1402274446547750916,""RT @OliverStuenkel: Segundo um artigo do Brazilian Report —publicação lida por mtos observadores internacionais que lidam com o Brasil—, “B…"",Tue Jun 08 14:40:55 +0000 2021,1";;
1402274446098960394,RT @pp__eu_mesm: A gayzada tá nervosa.  Bolsonaro herói!!!,Tue Jun 08 14:40:55 +0000 2021,1;;
1402274445209837572,RT @KennedyAlencar: Queiroga mostra que CPI deve ter cuidado com reconvocações. Podem ser perda de tempo. Ele reitera as mesmas mentiras do…,Tue Jun 08 14:40:55 +0000 2021,22;;
"1402274445130145801,""RT @desmentindobozo: A mentira sobre o relatório do TCU em 7 atos:";;
;;
#NOME?;;
#NOME?;;
"- Porta…"",Tue Jun 08 14:40:55 +0000 2021,1439";;
"1402274443062386695,""RT @orlandosilva: URGENTE! Relatório da PF mostra que empresário pagou materiais de campanha de Bolsonaro via caixa 2.";;
;;
