Texto,Contagem de RT's,ID,Criado em,Link
"RT @saritacoelho: Posso conviver tranquilamente com a leitura de Jair Bolsonaro e com a sanfona de Gilson Machado. 

O que não dá para conv…",112,1400845048040800000,Fri Jun 04 16:01:00 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
RT @LeviKaique: Você não precisa dizer que não é a favor do Lula toda vez que disser que é fora Bolsonaro. Pode ficar tranquilo,107,1400845075224072000,Fri Jun 04 16:01:07 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
RT @TerraBrasilnot: Bolsonaro pode aumentar auxílio emergencial para R$ 400 e deixa esquerda em pânico https://t.co/YHYpTTQr5E,95,1400845091305103000,Fri Jun 04 16:01:10 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
RT @TerraBrasilnot: Bolsonaro pode aumentar auxílio emergencial para R$ 400 e deixa esquerda em pânico https://t.co/YHYpTTQr5E,95,1400845115502047000,Fri Jun 04 16:01:16 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @ricardope: Não tem cheiro de 1964 no ar, isso é o que os bolsonaristas querem que a gente pense. O cheiro, na verdade, é da batata do b…",92,1400845045461303000,Fri Jun 04 16:00:59 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @carlosjordy: Presidente Bolsonaro falando o que todos já sabem, mas alguns fingem não saber: “o que mata não é quem manda dinheiro para…",84,1400845049395614000,Fri Jun 04 16:01:00 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
"RT @carlosjordy: Presidente Bolsonaro falando o que todos já sabem, mas alguns fingem não saber: “o que mata não é quem manda dinheiro para…",84,1400845061433213000,Fri Jun 04 16:01:03 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @carlosjordy: Presidente Bolsonaro falando o que todos já sabem, mas alguns fingem não saber: “o que mata não é quem manda dinheiro para…",84,1400845082425795000,Fri Jun 04 16:01:08 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @carlosjordy: Presidente Bolsonaro falando o que todos já sabem, mas alguns fingem não saber: “o que mata não é quem manda dinheiro para…",84,1400845102612947000,Fri Jun 04 16:01:13 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @paulofilippus: ABSURDO!

Em novo vídeo vazado, Bolsonaro foi flagrado preocupado com o que vai ser injetado no povo, cobrando da Anvisa…",80,1400845051610153000,Fri Jun 04 16:01:01 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
RT @UOLNoticias: Temer vê risco de golpe de Bolsonaro; Lula e FHC querem reforçar legalistas https://t.co/VibvnLVns3,72,1400845080316023000,Fri Jun 04 16:01:08 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @DolarBipolar: Antes de Bolsonaro o dólar estava a R$3,89, só pra lembrar.",70,1400845059600355000,Fri Jun 04 16:01:03 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RT @nostrendsbrasil: Sarah - Sarah Andrade crítica Lula e Bolsonaro. https://t.co/3JxjwubwMN,69,1400845103980286000,Fri Jun 04 16:01:13 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"RT @tesoureiros: A REUNIÃO DE BOLSONARO COM O MINISTÉRIO PARALELO TÁ NA EBC 🤡
https://t.co/jtTwz5YmWr",48,1400845074993406000,Fri Jun 04 16:01:06 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
RT @gizellubicalho: eu tô assim com a gizelly jantando os haters comendo o uc deles e  falando FORA BOLSONARO https://t.co/eeantjVvl7,47,1400845107553837000,Fri Jun 04 16:01:14 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @MussumAlive: Eu não quero saber se você é de direita ou esquerda, o que importa pra mim hoje é saber porque você ainda não se posiciono…",44,1400845081645568000,Fri Jun 04 16:01:08 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
"RT @henriolliveira_: NooOooOooOoossssa!

Quer dizer que vazou um vídeo de BOLSONARO com médicos e preocupado com a qualidade das vacinas pa…",39,1400845076700537000,Fri Jun 04 16:01:07 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @tesoureiros: ""Como é que nós podemos trabalhar, como é que eu posso fazer vídeo instruindo o povo se eu não tenho o presidente dizendo…",39,1400845116777144000,Fri Jun 04 16:01:16 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
RT @Jacquecarago: Graças a  Globo  Bolsonaro entrará para o livro do Guinness book como o Presidente que mais incomodou comunistas no mundo…,28,1400845116026327000,Fri Jun 04 16:01:16 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
"RT @aguedescartoon: Por favor, cessem os fatalismos e parem de dizer que a democracia já era e que haverá golpe em 22. Tudo que o Bolsonaro…",26,1400845063358407000,Fri Jun 04 16:01:04 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @Gislene_sp10: Quem aqui também não é Lula e nem Bolsonaro? Levanta a mão, 🤚quero te conhecer!🌹 https://t.co/wmRLS3TEbG",22,1400845101715317000,Fri Jun 04 16:01:13 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"RT @marinalang: “Olha, eu vou te matar. Se eu tivesse uma faca aqui eu te matava, seu vagabundo”, teria dito Eduardo Bolsonaro a ex-aliado…",21,1400845066734871000,Fri Jun 04 16:01:05 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"RT @nandszffc: nem Lula nem Bolsonaro mesmo, acordem pra vida seus filhos da puta baba ovo de político",21,1400845058040074000,Fri Jun 04 16:01:02 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @samiabomfim: Bolsonaro não igorou 11, mas 53 e-mails com ofertas de vacinas da Pfizer, segundo apuração da #CPIdaCovid. Não faltam prov…",21,1400845045494915000,Fri Jun 04 16:00:59 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
RT @singschreave: se a cólica menstrual fosse uma pessoa ela seria o bolsonaro,17,1400845047063618000,Fri Jun 04 16:01:00 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
RT @crflirio: rt se vc odeia o bolsonaro ou quer se matar,12,1400845080504812000,Fri Jun 04 16:01:08 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @cralize: @Metropoles @SamPancher Por isso, Nise Yamaguchi achava que o Osmar Terra era ministro da saúde. O próprio Bolsonaro disse par…",9,1400845106245161000,Fri Jun 04 16:01:14 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @medoedeliriobr: Bolsonaro vive elogiando  chefe da CEAGESP, um ex-policial da Rota que jura que ainda é policial e fica ameaçando as pe…",7,1400845084954927000,Fri Jun 04 16:01:09 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
RT @dieviviarruda: Nem Lula e nem Bolsonaro a Sarah q votar na juliette rsrsrs,3,1400845107692249000,Fri Jun 04 16:01:14 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @GitoWendel: O problema da galera ""Nem Lula, nem Bolsonaro"" é que lá na frente, se for eles dois, vai de Bolsonaro. Ou para a França.",1,1400845110242386000,Fri Jun 04 16:01:15 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
"RT @ricardoptrw: Bolsonaro sobe o tom e diz que não aceitaria ir à CPI: 'Acham que vão derrubar o presidente?' (veja o vídeo)
https://t.co/…",1,1400845078181077000,Fri Jun 04 16:01:07 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
"RT @spfclay: o traficante aqui falando mal do bolsonaro, lenda!",1,1400845103200096000,Fri Jun 04 16:01:13 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
'@_gabifilg ele tem bolsonaro no sobrenome po!! não existe defeito maior,0,1400845053229142000,Fri Jun 04 16:01:01 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"'@AGazetaES Já que ela não apoia o governo ou Bolsonaro, Sabatela deve estar vendo uma boa oportunidade de ingressar… https://t.co/v6GQXTdCoS",0,1400845096267010000,Fri Jun 04 16:01:12 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"'@andrizek Eu quero que o Bolsonaro se foda, mais e nítido que o ele está fazendo isso por política deveria sair sim… https://t.co/O8uBz4oHGx",0,1400845100809327000,Fri Jun 04 16:01:13 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
'@Biellvitorio18 mano tu tem grupo do bolsonaro?,0,1400845086880059000,Fri Jun 04 16:01:09 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
'@claudioedantas TUDO O QUE FOR REFUGO P O GOVERNO FEDERAL O BOLSODÓRIANA CORRE P RECOLHER! O CALCINHA ATOCHADA SOFR… https://t.co/AWZ2qEcdeC,0,1400845043997594000,Fri Jun 04 16:00:59 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
'@crflirio @girlbaiana rt quem quer matar o bolsonaro,0,1400845075291296000,Fri Jun 04 16:01:07 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
'@JovemPanNews Ele é ministro e está licenciado do seu cargo assim como Bolsonaro. Próximo.,0,1400845074964140000,Fri Jun 04 16:01:06 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"'@LuciaCa86838545 esse é o país do bolsonaro, o PT nunca teria coragem de fazer isso, mas votaram no facista, agora aguenta",0,1400845112226288000,Fri Jun 04 16:01:15 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
'@mathftl @thiagoromariz @LuizPersechini e votou no bolsonaro ou defendeu as ideias dele de eleição,0,1400845075517673000,Fri Jun 04 16:01:07 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
'@nlida64065669 @LulaOficial Kkkkkkkkk fonte?? Bolsonaro kkkk,0,1400845082144748000,Fri Jun 04 16:01:08 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"'@PrideLeeDamien @alec_puta Pior q é vdd, vc foi criado num lar de gays com o bolsonaro",0,1400845066839724000,Fri Jun 04 16:01:05 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"'@Rconstantino Inadmissível um presidente ser responsável, honesto e transparente só ficaria melhor se o Bolsonaro d… https://t.co/2qIrbAMpba",0,1400845100280918000,Fri Jun 04 16:01:13 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
'@ultimosegundo Kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk… https://t.co/qA2wE8d9uC,0,1400845090394890000,Fri Jun 04 16:01:10 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
A Gizelly dá umas mancadas às vezes? Dá. Mas ela é muito boa. E pelo menos xinga bolsonaro,0,1400845089082118000,Fri Jun 04 16:01:10 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
alguma coisa= bolsonaro preso,0,1400845107784471000,Fri Jun 04 16:01:14 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
